,Department,CourseID,CourseName,Description,Instructors,TermsOffered,Prerequisites,Equivalent,Terms
0,PARR,PARR 22100,"No Justice, No Speech! Free Speech and Palestine in the University and Beyond.  ","Are there-or should there be-limits to free speech? What is the relationship between free speech and hate speech? Does speech deserve special kinds of protections (or limits) in the context of the university campus? In this course, we will critically engage with these questions as they relate to political organizing and political expression on (and in) Palestine. Our course will examine these foundational questions before turning to some of the sticking points in the debate over free speech and Palestine today: What is freedom of expression in Israel-Palestine, and what does it have to do with the politics of US campuses? What is BDS, and is it intended to foster or limit academic freedom? Is anti-Zionism anti-Semitic? To consider these questions, we will do critical readings of primary texts such as the BDS guidelines issued by PACBI (Palestinian Campaign for the Academic and Cultural Boycott of Israel) and the definition of anti-Semitism issued by the IHRA (International Holocaust Remembrance Alliance), as well as ethnographic and other accounts of the problem of political expression in Palestine today.",Callie Maidhof,Autumn,N/A,"GLST 25850, PBPL 25850, NELC 25850, LLSO 25850",Autumn
1,PARR,PARR 23500,"Freedom of Speech on Campus: Ideologies, Scenarios and Modes of Discussion.  ","Free expression always involves strong emotions and tensions with others, who come from a different perspective. To live a full academic life, you want to be authentic. You also want to be civil and professional. What can and can't you say on campus and in the classroom? What should or shouldn't you say? How could you make a conflict more constructive, if it will exist? This course connects the philosophical foundations of free speech and free expression practices at US Universities, and explores the ongoing tensions around this issue. You will develop a thorough understanding of the issue through readings, writing and dialogue involving your peers at and outside of the University of Chicago. You will also practice the skill of moderating discussions on difficult issues that involve matters of free expression and inquiry in the academic setting. Readings will include influential philosophical texts of the Anglo-Saxon tradition (Milton, Locke, Mill, Meiklejohn, Berlin, Fish), legal cases, university declarations, as well as mass media coverage of recent events and proposed legislation. The course will begin with a classroom-based deliberation about free speech and the inclusive campus. You will then proceed to reading seminars and teamwork researching recent controversies concerning free expression at universities. You will write an essay proposing a collaborative solution to the case that you researched.",Ekaterina Lukianova,Winter,N/A,N/A,Winter
2,PARR,PARR 24223,Parrhesia: Fearless Speech from Socrates to Greta von Thunberg.  ,"The course will examine the long history of parrhesia, the Greek term for free and fearless speech, from ancient Athens to its current renaissance through the rediscovery by Michel Foucault. Focusing on the relation of truth and discourse, the course will consider not only the extraction of truth as a form of subjection to disciplinary power but also acts of telling truth to power as a practice of self- formation and exercise of freedom. Parrhesia implies a relation between the human self and the act of truth-telling that is suffused with interesting political, philosophical, and ethical possibilities, which students will be encouraged to explore. The course will begin by reviewing Foucault's final lectures on parrhesia and ""the courage of truth."" It will then examine some of the ancient Greek and Christian texts that Foucault analyzed. It will go on to consider early modern instances of parrhesia (e.g. Galileo and Descartes) and will conclude by surveying relatively recent versions (e.g. Greta von Thunberg and James Comey, JD'85), including contemporary feminist and queer practices of parrhesia. Lectures and discussions in English. No prerequisites.",Christopher Wild,Spring,N/A,"GRMN 24223, RLVC 34223, RLST 24223, CMLT 34223, GRMN 34223, CMLT 24223",Spring
3,CCTS,CCTS 20400,Health Disparities in Breast Cancer.  ,"Across the globe, breast cancer is the most common women's cancer. In the last two decades, there have been significant advances in breast cancer detection and treatment that have resulted in improved survival rates. Yet, not all populations have benefited equally from these improvements, and there continues to be a disproportionate burden of breast cancer felt by different populations. In the U.S., for example, white women have the highest incidence of breast cancer but African-American women have the highest breast cancer mortality overall. The socioeconomic, environmental, biological, and cultural factors that collectively contribute to these disparities are being identified with a growing emphasis on health disparities research efforts. In this 10-week discussion-based course students will meet twice weekly and cover major aspects of breast cancer disparities.","E. Dolan, S. Conzen",Winter,BIOS 25108,"CCTS 40400, HLTH 20400, GNSE 30408, GNSE 20408, BIOS 25327",Winter
4,CCTS,CCTS 20500,Machine Learning & Advanced Analytics for Biomedicine.  ,"The age of ubiquitous data is rapidly transforming scientific research, and advanced analytics powered by sophisticated learning algorithms is uncovering new insights in complex open problems in biology and biomedicine. The goal of this course is to provide an introductory overview of the key concepts in machine learning, outlining the potential applications in biomedicine. Beginning from basic statistical concepts, we will discuss concepts and implementations of standard and state of the art classification and prediction algorithms, and go on to discuss more advanced topics in unsupervised learning, deep learning architectures, and stochastic time series analysis. We will also cover emerging ideas in data-driven causal inference, and demonstrate applications in uncovering etiological insights from large scale clinical databases of electronic health records, and publicly available sequence and omics datasets. The acquisition of hands-on skills will be emphasized over machine learning theory. On successfully completing the course, students will have acquired enough knowledge of the underlying machinery to intuit and implement solutions to non-trivial data science problems arising in biology and medicine.",Ishanu Chattopadhyay,Winter. Not offered every year,"Rudimentary knowledge of probability theory, and basic exposure to scripting languages such as python/R is required. This course does not qualify in the Biological Sciences major.",CCTS 40500,Winter
5,CCTS,CCTS 21005,Scholars in Ethics and Medicine Cohort (SEM)  100,"This multidisciplinary course draws insights from medicine, sociology, moral psychology, philosophy, ethics, and theology to explore answers to the unique challenges that medicine faces in the context of late modernity: How does one become a ""good physician"" in an era of growing moral pluralism and health care complexity? Students will engage relevant literature from across these disciplines to address issues regarding the legitimate goals of medicine, medical professionalism, the doctor-patient relationship, vocation and calling, the role of religion in medicine, and character development in medical education. The course will first introduce the challenges that moral pluralism in contemporary society presents to the profession of medicine along with the subsequent calls for a renewed pursuit of clinical excellence in today's complex health care system. It will then survey the resurgence of a philosophical discipline (virtue ethics) that has begun to shape contemporary debate regarding what types of ""excellences"" are needed for a good medical practice dominated by medical science and technology.",Kathryn Rowland,"Autumn
Spring
Winter",N/A,"CCTS 41005, MEDC 31005","Autumn, Spring, Winter"
6,CCTS,CCTS 21011,Clinical Research Design and Interpretation of Health Data.  ,"This course will introduce the interdisciplinary field of clinically oriented health services research with a focus on the interpretation of health-related metrics and policy-related applications. We will examine how translational medical science informs healthcare providers, payers, and professional societies. COVID-19 and postmenopausal hormone replacement therapy will illustrate the challenges of data interpretation, translation of research findings into clinical medicine, and the adoption of evidence-based guidelines. Using a highly interactive approach, students will gain experience in selection of research study designs, measurement of health status, risk adjustment, causal inference, and understanding the placebo effect.
We will discuss how clinicians, administrators, and public reporting entities judge and use information derived from investigations. The COVID-19 pandemic will demonstrate the challenges that varied clinical presentations, diagnostic accuracy, and case definition (identification of diseased patients) create in the formulation of health statistics (e.g., case-fatality rates and disease attribution of mortality). We will also discuss methods of defining study populations for both clinical research and public health reporting.",Gregory Ruhnke,Spring,N/A,"HLTH 21011, PBPL 21011, BIOS 29331, CCTS 41011",Spring
7,CCTS,CCTS 21014,Religion and AIDS.  ,"The AIDS crisis was not an epoch that we survived. It is a battle that we are still fighting…when Americans talk about AIDS they are rarely just talking about a scientific problem or a pharmaceutical solution. They are instead offering a sociology of suffering and a plan for spiritual warfare."" - Kathryn Lofton
Is it possible to understand current debates over public health or the role of religion in the public sphere without first examining religious responses to the AIDS crisis? This course focuses on the emergence of the AIDS epidemic during the peak of the American culture wars. As such, students will analyze the fraught intersection of political power structures, medical epistemologies, and religious views on bodies, sex, and public morality. Through a varied catalog of disciplinary frameworks, e.g., history, theology, medical ethics, sociology of religion, and history of medicine, students will weigh the accuracy of Lofton's claim that for Americans, AIDS is more than just a disease. Thus, we will scrutinize moral rhetoric surrounding contraception and its public availability. We will discuss the extent to which religious philanthropy, especially on the international stage, reshaped approaches to global health. Finally, we will revisit the role of religious communities in providing both care for the sick and theological responses to suffering. Prior knowledge of religious studies and/or medical history is not required for the course.",Mark M. Lambert,Autumn,N/A,"RLST 26301, SOCI 20563, HLTH 26301, HMRT 26301, CHST 26301, HIPS 26301, HIST 28007, GNSE 23142, PBPL 25301",Autumn
8,CCTS,CCTS 21015,Religion and Abortion in the United States.  ,"In American public discourse, it is common to hear abortion referred to as a ""religious issue."" But is abortion a religious issue? If so, in what ways, to whom, and since when? 
In this course we will answer these questions by tracing the relationship between religion and abortion in American history. We will examine the kinds of claims religious groups have made about abortion; how religion has shaped the development of medical, legal, economic, and cultural perspectives on the topic; how debates over abortion have led to the rise of a certain kind of religious politics in the United States; and how issues of race, class, gender, sexuality, and the body are implicated in this conversation. Although the course will cover a range of time periods, religious traditions, and types of data (abortion records from Puritan New England, enslaved people's use of root medicine to induce miscarriage, and Jewish considerations of the personhood of the fetus, among others), we will give particular attention to the significance of Christianity in legal and political debates about abortion in the twentieth and twenty-first centuries. 
There are no prerequisites for this course and no background in Religious Studies is required. However, this course may be particularly well-suited to students interested in thinking about how their areas of study (medicine and medical sciences, gender and sexuality, race and ethnicity, political science) converge with religion and Religious Studies.",tb,N/A,N/A,"HLTH 26304, HIPS 26304, HMRT 26304, RLST 26304, GNSE 12115, HIST 28008, SOCI 20564, PBPL 25304",None
9,CCTS,CCTS 21016,"Indigenous Religions, Health, and Healing.  ","This course introduces students to the dynamic, often-contested understandings of health, healing, and religion among the Indigenous peoples of the Americas. Our task will be threefold: first, to examine the drastic effects of settler colonialism upon the social determinants of health for Indigenous peoples throughout the Americas, including the Caribbean, Mexico, United States, and Hawaii. Second, we shall attempt to understand healing practices as they are steeped in and curated by Indigenous traditions and religious beliefs. Our goal is to counteract centuries-old stereotypical images of Native peoples and challenge our preconceived notions of wellness, selfhood, and the boundaries of medicine. Third, we will reflect upon contemporary Indigenous approaches to health and healing with particular attention to the postcolonial hybridity of these practices. Throughout the course we will attend to a generative diversity of epistemologies, anthropologies, and religious worldviews with the ultimate goal that a renewed understanding of Indigenous healing traditions will augment our own approaches to global/public health and the study of religion.",Mark M. Lambert,Winter,N/A,"KNOW 27501, CHST 27501, HIPS 27520, HLTH 27501, CRES 21501, RLST 27501",Winter
